Year of Project Year,Subsystem 1 - Technology Mid-Type,Country (group),Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Sub-Type (group),Country,Subsystem 1 - Technology Sub-Type,Rated Power (kW),Storage Capacity (kWh)
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Zinc-bromine flow battery,United States,Zinc-bromine flow battery,25,50
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,100,0
2014,Lead-acid battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,75,150
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,27,63.99
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,30,30
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,2300
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,1000,3000
2014,Sodium-based battery,United States,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,United States,Sodium-nickel-chloride battery,600,1200
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,1000,1000
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,480,480
2014,Lithium-ion battery,France,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,France,Unknown Technology Sub-Type ,1100,572
2014,Flow battery,Switzerland,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Switzerland,Vanadium redox flow battery,10,60
2014,Flow battery,United States,Electro-chemical battery and chemical storage,Vanadium redox flow battery,United States,Vanadium redox flow battery,20,80
2014,Flow battery,Japan,Electro-chemical battery and chemical storage,Vanadium redox flow battery,Japan,Vanadium redox flow battery,30,300
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,8000,32000
2014,Lithium-ion battery,Anguilla,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Anguilla,Unknown Technology Sub-Type ,500,250
2014,Sodium-based battery,Equatorial Guinea,Electro-chemical battery and chemical storage,Sodium-nickel-chloride battery,Equatorial Guinea,Sodium-nickel-chloride battery,5000,10000
2014,Lead-acid battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,150,675
2014,Lithium-ion battery,United States,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,United States,Unknown Technology Sub-Type ,20000,10000
2014,Lead-acid battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,15,59.85
2014,Lithium-ion battery,Germany,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Germany,Unknown Technology Sub-Type ,30,30
2014,Lithium-ion battery,Bolivia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Bolivia,Unknown Technology Sub-Type ,2200,1100
2014,Lithium-ion battery,Australia,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,Australia,Unknown Technology Sub-Type ,1000,1000
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,300,300
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Lithium polymer battery,South Korea,Lithium polymer battery,1000,520
2014,Lithium-ion battery,South Korea,Electro-chemical battery and chemical storage,Unknown Technology Sub-Type ,South Korea,Unknown Technology Sub-Type ,1000,1500
